firstname,lastname,years,birthday,team,skills,manager,email
Lacie,Koziara,40,1991-09-28,Developers,"js,typescript,python",TRUE,Lacie.Koziara@mailmail.com
Edee,Ingra,34,2025-01-31,Recruitment,,TRUE,Edee.Ingra@mailmail.com
Nataline,Codding,62,1957-07-16,worker,"ts,java",FALSE,Nataline.Codding@mailmail.com
Berta,Ferrell,15,1960-07-08,worker,js,TRUE,Berta.Ferrell@mailmail.com
Bertine,Mandler,83,1980-08-09,worker,"react,py",FALSE,Bertine.Mandler@mailmail.com
Jasmina,Adore,33,1999-09-21,worker,,FALSE,Jasmina.Adore@mailmail.com
Mellicent,Quinn,76,1968-08-08,HR,"java,python,typescript",FALSE,Mellicent.Quinn@mailmail.com
Marnia,Adlare,32,2010-01-14,Developers,typescript,FALSE,Marnia.Adlare@mailmail.com
Amalie,Brandice,14,1996-02-23,Recruitment,ts,FALSE,Amalie.Brandice@mailmail.com
Elvira,Eugenia,11,1981-03-03,worker,"ts,py,py",TRUE,Elvira.Eugenia@mailmail.com
Michaelina,Winthorpe,82,1967-09-02,developer,react,TRUE,Michaelina.Winthorpe@mailmail.com
Bill,Wyn,79,1947-04-02,Recruitment,py,TRUE,Bill.Wyn@mailmail.com
Blake,Jethro,66,2024-09-14,worker,"java,typescript",TRUE,Blake.Jethro@mailmail.com
Valera,Edison,1,1980-09-15,HR,javascript,FALSE,Valera.Edison@mailmail.com
Joeann,Irmine,81,2018-10-01,Developers,,TRUE,Joeann.Irmine@mailmail.com
Margette,Lacombe,43,1980-05-22,Recruitment,ts,TRUE,Margette.Lacombe@mailmail.com
Gerianna,Chauncey,86,1986-03-29,HR,,TRUE,Gerianna.Chauncey@mailmail.com
Nonnah,Bryna,80,1989-08-11,Developers,"ts,java",FALSE,Nonnah.Bryna@mailmail.com
Deane,Dimitris,34,1997-09-22,developer,"java,py",FALSE,Deane.Dimitris@mailmail.com
Hermione,Johanna,96,2021-01-01,Recruitment,"java,react",FALSE,Hermione.Johanna@mailmail.com
Marline,Wildermuth,93,1968-06-30,worker,react,TRUE,Marline.Wildermuth@mailmail.com
Jeanna,Luhe,34,1950-07-29,Recruitment,"react,react,ts",FALSE,Jeanna.Luhe@mailmail.com
Dianemarie,Fleeta,88,2020-11-29,HR,"typescript,ts,typescript",TRUE,Dianemarie.Fleeta@mailmail.com
Katharina,Schonfeld,10,1979-09-28,developer,ts,FALSE,Katharina.Schonfeld@mailmail.com
Leeanne,Wu,16,1976-07-10,Recruitment,"js,python",TRUE,Leeanne.Wu@mailmail.com
Gertrud,Monaco,15,1987-04-30,Developers,ts,TRUE,Gertrud.Monaco@mailmail.com
Stevana,Alexandr,63,1988-06-11,Recruitment,typescript,TRUE,Stevana.Alexandr@mailmail.com
Kial,Lay,15,1954-10-14,Developers,ts,FALSE,Kial.Lay@mailmail.com
Jessy,Paton,78,1972-09-01,Developers,"javascript,python",TRUE,Jessy.Paton@mailmail.com
Clary,Sancho,67,2005-05-14,developer,javascript,TRUE,Clary.Sancho@mailmail.com
Lita,Wittie,3,1964-08-15,developer,"react,js,py",TRUE,Lita.Wittie@mailmail.com
Alyda,Frendel,9,1974-06-03,developer,"ts,react,typescript",FALSE,Alyda.Frendel@mailmail.com
Talya,Granoff,95,1949-03-15,HR,"js,python,ts",TRUE,Talya.Granoff@mailmail.com
Brana,Jefferey,15,2009-12-20,HR,"javascript,ts,python",FALSE,Brana.Jefferey@mailmail.com
Jessamyn,Trey,5,1982-07-07,Recruitment,js,TRUE,Jessamyn.Trey@mailmail.com
Sabina,Jillane,12,1991-12-19,Developers,typescript,FALSE,Sabina.Jillane@mailmail.com
Pierette,Roumell,42,2023-05-22,HR,py,FALSE,Pierette.Roumell@mailmail.com
Charlena,Loring,11,1949-12-14,HR,"javascript,js,py",FALSE,Charlena.Loring@mailmail.com
Kellen,Schalles,91,1970-05-22,worker,"react,typescript,ts",TRUE,Kellen.Schalles@mailmail.com
Kirbee,Callista,80,1962-09-09,Recruitment,"java,java",FALSE,Kirbee.Callista@mailmail.com
Arlina,Arquit,18,1969-02-23,Developers,"py,js,js",TRUE,Arlina.Arquit@mailmail.com
Joelly,Goth,31,1972-11-15,worker,"javascript,java,ts",FALSE,Joelly.Goth@mailmail.com
Bernardine,Fax,25,2022-06-30,HR,"python,py",FALSE,Bernardine.Fax@mailmail.com
Aili,Jobi,28,2020-03-25,developer,"react,py",TRUE,Aili.Jobi@mailmail.com
Doralynne,Ailyn,18,1969-05-14,Developers,"java,javascript,javascript",FALSE,Doralynne.Ailyn@mailmail.com
Netty,Muriel,33,1940-02-14,worker,"java,typescript,py",FALSE,Netty.Muriel@mailmail.com
Feliza,Dowski,47,1942-10-20,worker,js,FALSE,Feliza.Dowski@mailmail.com
Gilda,Poll,89,2012-11-23,Developers,ts,TRUE,Gilda.Poll@mailmail.com
Amelia,Maurine,78,1994-04-14,worker,"javascript,py",FALSE,Amelia.Maurine@mailmail.com
Taffy,Zitvaa,93,1966-06-18,worker,"py,js,py",FALSE,Taffy.Zitvaa@mailmail.com
Raquela,Bandeen,71,1998-04-28,developer,"python,javascript",TRUE,Raquela.Bandeen@mailmail.com
Caressa,Aldric,53,1989-07-29,HR,"react,py,python",FALSE,Caressa.Aldric@mailmail.com
Vinita,Adore,66,1947-09-22,Recruitment,react,TRUE,Vinita.Adore@mailmail.com
Kittie,Hieronymus,10,2025-02-23,HR,"javascript,ts,python",TRUE,Kittie.Hieronymus@mailmail.com
Gretal,Wittie,71,1999-02-21,Developers,"ts,java,typescript",TRUE,Gretal.Wittie@mailmail.com
Mellicent,Truc,38,1967-12-11,Developers,js,TRUE,Mellicent.Truc@mailmail.com
Pearline,Ambrosia,58,1958-01-04,developer,"javascript,react,typescript",FALSE,Pearline.Ambrosia@mailmail.com
Tilly,Tarrant,37,2002-01-17,HR,python,TRUE,Tilly.Tarrant@mailmail.com
Rochette,Clarissa,46,1983-11-02,worker,,TRUE,Rochette.Clarissa@mailmail.com
Leona,Delila,74,1980-12-28,developer,"typescript,py",FALSE,Leona.Delila@mailmail.com
Tracey,Girardo,56,1946-12-02,worker,"react,java,javascript",FALSE,Tracey.Girardo@mailmail.com
Therine,Skell,96,2016-08-30,developer,ts,TRUE,Therine.Skell@mailmail.com
Madeleine,Vanni,21,2024-01-11,HR,"ts,ts",TRUE,Madeleine.Vanni@mailmail.com
Daune,Delp,66,2013-03-26,HR,"javascript,react",FALSE,Daune.Delp@mailmail.com
Bettine,Marcellus,65,1986-08-13,HR,"react,react,react",FALSE,Bettine.Marcellus@mailmail.com
Kelly,Rustice,40,1941-09-27,Recruitment,"typescript,ts,py",TRUE,Kelly.Rustice@mailmail.com
Deane,Ade,12,1979-03-25,worker,"ts,ts",TRUE,Deane.Ade@mailmail.com
Hermione,Alarise,32,1976-07-12,Developers,ts,TRUE,Hermione.Alarise@mailmail.com
Averyl,Bates,94,2011-11-04,Developers,react,FALSE,Averyl.Bates@mailmail.com
Hayley,Serilda,67,1998-07-12,Developers,react,TRUE,Hayley.Serilda@mailmail.com
Ivett,Lubin,7,1996-08-02,HR,"python,react",FALSE,Ivett.Lubin@mailmail.com
Aurore,Leler,69,1986-04-21,developer,"ts,java",FALSE,Aurore.Leler@mailmail.com
Maurene,Hull,74,2003-12-25,HR,py,TRUE,Maurene.Hull@mailmail.com
Frances,Bandeen,75,2009-11-13,worker,"py,python",FALSE,Frances.Bandeen@mailmail.com
Charissa,Gherardo,93,2008-03-10,worker,js,FALSE,Charissa.Gherardo@mailmail.com
Amara,Brunell,56,1949-02-14,HR,,TRUE,Amara.Brunell@mailmail.com
Annaliese,Darian,40,2002-08-21,Developers,typescript,TRUE,Annaliese.Darian@mailmail.com
Ingrid,Yerkovich,84,1950-04-12,worker,"react,react,js",TRUE,Ingrid.Yerkovich@mailmail.com
Rosaline,Devlen,68,2018-10-18,Recruitment,"react,typescript,typescript",TRUE,Rosaline.Devlen@mailmail.com
Leontine,Croix,67,1998-08-17,Developers,"py,python,javascript",TRUE,Leontine.Croix@mailmail.com
Roslyn,Fry,74,1997-12-21,HR,"ts,react",FALSE,Roslyn.Fry@mailmail.com
Doralynne,Flyn,57,1959-12-03,Recruitment,"js,javascript",TRUE,Doralynne.Flyn@mailmail.com
Ellette,Bakerman,99,1958-06-21,developer,"python,javascript,python",FALSE,Ellette.Bakerman@mailmail.com
Celene,Alwin,90,2021-01-27,Developers,python,TRUE,Celene.Alwin@mailmail.com
Tina,Infield,47,2000-04-01,HR,"python,js",TRUE,Tina.Infield@mailmail.com
Constance,Rese,67,1946-03-23,Recruitment,"javascript,react,ts",FALSE,Constance.Rese@mailmail.com
Dolli,Revkah,67,1942-06-08,Developers,"ts,typescript,java",TRUE,Dolli.Revkah@mailmail.com
Ernesta,Bates,36,1959-06-15,worker,"typescript,py,ts",TRUE,Ernesta.Bates@mailmail.com
Maud,Kirbee,88,1980-05-13,HR,"ts,java",TRUE,Maud.Kirbee@mailmail.com
Kimmy,Toffic,10,2010-12-05,Recruitment,"py,java,py",FALSE,Kimmy.Toffic@mailmail.com
Chloris,Bandeen,85,2004-01-18,worker,"ts,py,js",TRUE,Chloris.Bandeen@mailmail.com
Lisette,Delacourt,22,2013-07-14,HR,typescript,TRUE,Lisette.Delacourt@mailmail.com
Wileen,Brunell,65,2004-05-03,developer,"js,python,js",FALSE,Wileen.Brunell@mailmail.com
Anestassia,Lorain,9,1947-02-02,worker,js,FALSE,Anestassia.Lorain@mailmail.com
Alisha,Kaete,3,1953-04-11,worker,typescript,FALSE,Alisha.Kaete@mailmail.com
Tobe,Ursulette,74,2011-10-26,HR,"python,java",FALSE,Tobe.Ursulette@mailmail.com
Lizzie,Claudine,63,2012-03-22,worker,react,FALSE,Lizzie.Claudine@mailmail.com
Marline,Ledah,38,1973-11-12,worker,"python,typescript",FALSE,Marline.Ledah@mailmail.com
Lenna,An,36,2002-07-30,HR,"py,typescript,py",TRUE,Lenna.An@mailmail.com
Steffane,Manolo,58,2023-03-07,worker,"py,react,javascript",FALSE,Steffane.Manolo@mailmail.com
Pamella,Woodberry,2,2001-11-25,Recruitment,"python,react,java",FALSE,Pamella.Woodberry@mailmail.com
Olwen,Maxi,34,1988-09-28,Recruitment,python,TRUE,Olwen.Maxi@mailmail.com
Blondelle,August,47,1960-02-15,worker,"ts,typescript",TRUE,Blondelle.August@mailmail.com
Julieta,Sharl,78,1954-09-16,HR,"react,react",FALSE,Julieta.Sharl@mailmail.com
Debee,Uird,16,1965-12-29,developer,"js,py,typescript",TRUE,Debee.Uird@mailmail.com
Raina,Raffo,19,1958-06-01,developer,"react,typescript",FALSE,Raina.Raffo@mailmail.com
Nicoli,Mitzi,94,1955-04-19,Recruitment,"js,react",TRUE,Nicoli.Mitzi@mailmail.com
Veda,Deny,2,1997-12-09,HR,ts,FALSE,Veda.Deny@mailmail.com
Marti,Thema,92,1978-03-10,Developers,"java,py,js",FALSE,Marti.Thema@mailmail.com
Doralynne,Raychel,76,1995-07-29,worker,"react,js,react",TRUE,Doralynne.Raychel@mailmail.com
Jinny,Geffner,67,1943-01-29,worker,"typescript,py",FALSE,Jinny.Geffner@mailmail.com
Almeta,Bord,5,1998-07-11,HR,"javascript,python",FALSE,Almeta.Bord@mailmail.com
Ebonee,Belldas,22,1952-08-14,Recruitment,"react,py,javascript",FALSE,Ebonee.Belldas@mailmail.com
Millie,Constancy,56,2013-06-24,Recruitment,javascript,FALSE,Millie.Constancy@mailmail.com
Nanete,Gahl,25,1979-11-09,Recruitment,ts,FALSE,Nanete.Gahl@mailmail.com
Damaris,Louanna,35,2009-10-01,Developers,"java,react,py",FALSE,Damaris.Louanna@mailmail.com
Angela,Paine,24,1998-07-30,HR,"typescript,js",TRUE,Angela.Paine@mailmail.com
Beth,Rosemary,46,1948-08-06,worker,"ts,js,ts",TRUE,Beth.Rosemary@mailmail.com
Leia,Katrine,42,1945-04-02,developer,"js,js",TRUE,Leia.Katrine@mailmail.com
Melisent,Carey,20,1946-10-14,Recruitment,react,FALSE,Melisent.Carey@mailmail.com
Ardeen,Kiyoshi,13,1995-08-18,Developers,"javascript,python",TRUE,Ardeen.Kiyoshi@mailmail.com
Cindelyn,Jacqui,52,1979-09-30,HR,"react,python,js",TRUE,Cindelyn.Jacqui@mailmail.com
Angela,Jacinda,87,2011-11-01,HR,"python,java",TRUE,Angela.Jacinda@mailmail.com
Elena,Vernier,25,1979-11-22,Developers,"react,ts,python",TRUE,Elena.Vernier@mailmail.com
Julieta,Roarke,81,1967-06-17,developer,"java,ts",TRUE,Julieta.Roarke@mailmail.com
Wanda,Raffo,54,1981-05-12,developer,react,FALSE,Wanda.Raffo@mailmail.com
Maridel,Mich,28,1981-08-10,developer,"typescript,js",TRUE,Maridel.Mich@mailmail.com
Fredericka,Vilma,70,1954-03-14,HR,react,TRUE,Fredericka.Vilma@mailmail.com
Ardys,Merna,68,1984-02-11,Developers,typescript,TRUE,Ardys.Merna@mailmail.com
Vere,Lay,35,2013-12-25,Recruitment,"java,py,ts",FALSE,Vere.Lay@mailmail.com
Dianemarie,Goldina,18,2013-12-22,Recruitment,"react,py,python",TRUE,Dianemarie.Goldina@mailmail.com
Arlina,Bearnard,7,2015-10-25,Recruitment,typescript,FALSE,Arlina.Bearnard@mailmail.com
Adore,Mullane,73,1942-04-06,HR,"py,java,py",FALSE,Adore.Mullane@mailmail.com
Gui,Neils,35,1960-11-10,Recruitment,react,TRUE,Gui.Neils@mailmail.com
Pearline,Toffic,44,2013-03-05,HR,py,FALSE,Pearline.Toffic@mailmail.com
Rivalee,Oneida,86,2004-06-08,worker,"javascript,typescript,typescript",FALSE,Rivalee.Oneida@mailmail.com
Genevra,Weaks,24,2023-01-06,worker,,TRUE,Genevra.Weaks@mailmail.com
Maridel,Destinee,10,2003-04-26,worker,"react,java",FALSE,Maridel.Destinee@mailmail.com
Annaliese,Truc,48,1942-08-17,Developers,py,FALSE,Annaliese.Truc@mailmail.com
Almeta,Burch,34,2000-01-14,developer,py,TRUE,Almeta.Burch@mailmail.com
Heddie,Hoban,5,1974-09-17,Developers,"javascript,python,js",TRUE,Heddie.Hoban@mailmail.com
Georgina,Garek,45,1940-09-08,Developers,"ts,react",TRUE,Georgina.Garek@mailmail.com
Katharina,Sekofski,64,2007-10-22,developer,"java,react",FALSE,Katharina.Sekofski@mailmail.com
Grier,Shelba,84,1986-05-04,Developers,python,FALSE,Grier.Shelba@mailmail.com
Rori,Ogren,53,2001-03-26,worker,javascript,FALSE,Rori.Ogren@mailmail.com
Zsa Zsa,Lipson,41,1971-12-20,developer,python,TRUE,Zsa Zsa.Lipson@mailmail.com
Lonnie,Herrera,72,1948-06-21,HR,"javascript,py,python",TRUE,Lonnie.Herrera@mailmail.com
Maisey,Cath,69,2010-08-10,Recruitment,"java,py,java",TRUE,Maisey.Cath@mailmail.com
Kara-Lynn,Colleen,57,1986-03-04,Recruitment,"react,react,python",TRUE,Kara-Lynn.Colleen@mailmail.com
Helsa,Peg,80,2025-06-09,HR,"python,typescript,java",FALSE,Helsa.Peg@mailmail.com
Belva,Mata,12,1985-06-19,developer,"react,react,react",TRUE,Belva.Mata@mailmail.com
Kittie,Barney,98,2022-10-18,worker,js,FALSE,Kittie.Barney@mailmail.com
Correy,Dulciana,52,1949-06-01,worker,"py,typescript,java",TRUE,Correy.Dulciana@mailmail.com
Catrina,Olin,7,1988-11-13,Developers,"typescript,python",FALSE,Catrina.Olin@mailmail.com
Flory,Adrienne,15,1968-12-06,developer,"py,py,js",TRUE,Flory.Adrienne@mailmail.com
Lucille,Elsinore,85,1977-11-25,developer,"javascript,typescript,js",TRUE,Lucille.Elsinore@mailmail.com
Shirlee,Concha,24,1994-03-02,worker,javascript,FALSE,Shirlee.Concha@mailmail.com
Arlina,Elisha,6,1963-12-19,Recruitment,"typescript,typescript,ts",TRUE,Arlina.Elisha@mailmail.com
Alameda,Natica,70,2015-11-29,Developers,"java,py",TRUE,Alameda.Natica@mailmail.com
Daune,Zuzana,2,1969-11-06,Developers,typescript,FALSE,Daune.Zuzana@mailmail.com
Wanda,Gamaliel,17,2009-03-21,developer,"js,py,java",TRUE,Wanda.Gamaliel@mailmail.com
Basia,Swanhildas,83,2004-11-10,HR,"javascript,typescript,javascript",FALSE,Basia.Swanhildas@mailmail.com
Mildrid,Rurik,13,1962-04-08,Recruitment,"js,typescript,javascript",FALSE,Mildrid.Rurik@mailmail.com
Latisha,Breed,98,1996-12-09,worker,javascript,TRUE,Latisha.Breed@mailmail.com
Olwen,Duwalt,95,1996-11-20,Developers,js,TRUE,Olwen.Duwalt@mailmail.com
Feliza,Carleen,27,2006-03-05,Developers,"python,py,ts",FALSE,Feliza.Carleen@mailmail.com
Nessie,Chesna,21,2007-05-18,developer,typescript,TRUE,Nessie.Chesna@mailmail.com
Sharlene,Moseley,6,1942-12-04,worker,"python,python",FALSE,Sharlene.Moseley@mailmail.com
Elise,Hepsibah,5,1942-03-16,developer,"javascript,js",FALSE,Elise.Hepsibah@mailmail.com
Edee,Evangelia,29,1952-01-03,Recruitment,,TRUE,Edee.Evangelia@mailmail.com
Lolita,Buffum,91,1994-04-14,HR,react,TRUE,Lolita.Buffum@mailmail.com
Lolita,Robertson,77,1990-11-06,Recruitment,"typescript,typescript,ts",FALSE,Lolita.Robertson@mailmail.com
Alejandra,Pip,33,2012-12-01,Developers,"python,typescript,py",FALSE,Alejandra.Pip@mailmail.com
Nariko,Telfer,43,1970-03-09,HR,"ts,py",FALSE,Nariko.Telfer@mailmail.com
Chloris,August,30,2008-09-22,HR,"react,java,js",TRUE,Chloris.August@mailmail.com
Drucie,Wadell,2,1986-12-07,Recruitment,js,TRUE,Drucie.Wadell@mailmail.com
Anthia,Pascia,37,1952-08-19,Developers,"typescript,python",TRUE,Anthia.Pascia@mailmail.com
Lonnie,Merna,84,1999-10-10,developer,"ts,python",FALSE,Lonnie.Merna@mailmail.com
Arlina,Loleta,4,2014-10-29,worker,javascript,FALSE,Arlina.Loleta@mailmail.com
Cyb,Tannie,95,1997-04-11,Developers,"ts,js,js",FALSE,Cyb.Tannie@mailmail.com
Marika,Baudin,73,2016-07-17,developer,ts,FALSE,Marika.Baudin@mailmail.com
Delilah,Kiersten,83,2017-07-20,worker,"javascript,typescript",FALSE,Delilah.Kiersten@mailmail.com
Ottilie,Allys,60,1955-10-13,worker,"typescript,java,python",TRUE,Ottilie.Allys@mailmail.com
Wynne,Bibi,86,2000-07-14,Developers,"python,typescript,java",FALSE,Wynne.Bibi@mailmail.com
Janeczka,Suanne,5,1976-02-18,Recruitment,"js,python",FALSE,Janeczka.Suanne@mailmail.com
Britni,Nikaniki,44,1998-11-26,worker,"typescript,py,java",TRUE,Britni.Nikaniki@mailmail.com
Tomasina,Revkah,59,1999-07-01,Developers,"py,python",TRUE,Tomasina.Revkah@mailmail.com
Roz,Jess,26,1959-02-02,developer,javascript,FALSE,Roz.Jess@mailmail.com
Selia,Kare,21,2003-03-03,developer,"typescript,py",TRUE,Selia.Kare@mailmail.com
Moyna,Georgy,49,1985-08-26,worker,"py,js,js",FALSE,Moyna.Georgy@mailmail.com
Catrina,Elvyn,42,1971-08-20,worker,js,TRUE,Catrina.Elvyn@mailmail.com
Charissa,Brotherson,38,1995-08-06,Recruitment,"typescript,java",FALSE,Charissa.Brotherson@mailmail.com
Leona,Sperling,38,1996-06-22,Recruitment,"ts,react,ts",TRUE,Leona.Sperling@mailmail.com
Goldie,Leler,4,1997-03-07,HR,"ts,js",TRUE,Goldie.Leler@mailmail.com
Tani,Lauraine,5,2010-01-31,Recruitment,"javascript,react",TRUE,Tani.Lauraine@mailmail.com
Ileana,Bennie,2,1961-01-30,Developers,"typescript,java",FALSE,Ileana.Bennie@mailmail.com
Desirae,Imelida,23,2000-12-11,Developers,"typescript,py,java",FALSE,Desirae.Imelida@mailmail.com
Allis,An,24,2013-07-02,Recruitment,"react,javascript",FALSE,Allis.An@mailmail.com
Henriette,Sherrie,24,1999-05-18,worker,"typescript,py",FALSE,Henriette.Sherrie@mailmail.com
Zsa Zsa,Izaak,73,1956-05-14,worker,"typescript,ts",FALSE,Zsa Zsa.Izaak@mailmail.com
Tatiania,Haymes,46,1946-03-07,Developers,"ts,js",TRUE,Tatiania.Haymes@mailmail.com
Sallie,Angelis,7,1971-01-24,HR,"py,python",FALSE,Sallie.Angelis@mailmail.com
Philis,Voletta,39,1956-11-23,worker,"py,typescript",FALSE,Philis.Voletta@mailmail.com
Cyndie,Lattie,73,2018-08-09,developer,ts,TRUE,Cyndie.Lattie@mailmail.com
Marylou,Leary,83,2021-08-15,HR,"java,java,py",FALSE,Marylou.Leary@mailmail.com
Bee,Swanhildas,86,2017-05-23,worker,"python,python",TRUE,Bee.Swanhildas@mailmail.com
Moyna,Faro,100,1972-06-29,Developers,"typescript,react,typescript",FALSE,Moyna.Faro@mailmail.com
Halette,Frendel,12,1984-12-31,worker,"typescript,ts",TRUE,Halette.Frendel@mailmail.com
Phylis,Giule,34,2001-01-29,worker,"python,python",FALSE,Phylis.Giule@mailmail.com
Susette,Bronk,31,2016-06-13,Recruitment,"python,java,ts",TRUE,Susette.Bronk@mailmail.com
Jolyn,Belldas,92,1993-01-26,Recruitment,"java,typescript,javascript",TRUE,Jolyn.Belldas@mailmail.com
Gusty,Phaidra,5,2001-12-21,worker,,TRUE,Gusty.Phaidra@mailmail.com
Ezmeralda,Holtz,92,1961-01-14,HR,"python,react,js",TRUE,Ezmeralda.Holtz@mailmail.com
Ginnie,Stevy,48,1978-03-26,worker,"js,javascript,typescript",FALSE,Ginnie.Stevy@mailmail.com
Corry,Hanshaw,99,1972-02-11,Developers,ts,TRUE,Corry.Hanshaw@mailmail.com
Carol-Jean,Douglass,72,2010-07-26,developer,js,FALSE,Carol-Jean.Douglass@mailmail.com
Damaris,Valerio,75,2000-07-19,worker,ts,TRUE,Damaris.Valerio@mailmail.com
Kristan,Robertson,59,1968-09-20,Developers,"ts,ts",FALSE,Kristan.Robertson@mailmail.com
Adelle,Franza,64,1964-05-28,HR,"py,js,java",FALSE,Adelle.Franza@mailmail.com
Krystle,Ietta,1,2025-07-18,Recruitment,"js,java,py",TRUE,Krystle.Ietta@mailmail.com
Ethel,Voletta,76,1949-07-20,worker,,TRUE,Ethel.Voletta@mailmail.com
Halette,Dalli,8,2000-09-24,worker,"ts,ts,java",TRUE,Halette.Dalli@mailmail.com
Andree,Bluh,49,1952-04-13,developer,,FALSE,Andree.Bluh@mailmail.com
Siana,Seagraves,2,1995-11-01,worker,"js,javascript",TRUE,Siana.Seagraves@mailmail.com
Sean,Merat,83,1971-08-19,worker,py,FALSE,Sean.Merat@mailmail.com
Evaleen,Curren,32,2010-10-27,HR,ts,TRUE,Evaleen.Curren@mailmail.com
Melanie,Ariella,55,1940-07-04,Recruitment,"java,python,java",TRUE,Melanie.Ariella@mailmail.com
Lolita,Sherfield,9,1981-10-29,Developers,"react,py",TRUE,Lolita.Sherfield@mailmail.com
Lily,Fennessy,57,2008-10-19,Recruitment,"java,typescript",TRUE,Lily.Fennessy@mailmail.com
Concettina,Leary,69,2020-07-17,developer,ts,TRUE,Concettina.Leary@mailmail.com
Danika,Friede,84,1996-12-28,worker,react,TRUE,Danika.Friede@mailmail.com
Livvyy,Kravits,40,1992-05-05,HR,js,TRUE,Livvyy.Kravits@mailmail.com
Luci,Yoko,76,1991-11-14,HR,"js,python",TRUE,Luci.Yoko@mailmail.com
Verla,Wind,84,2011-04-05,worker,"python,ts",TRUE,Verla.Wind@mailmail.com
Emilia,Frodi,87,1968-09-03,developer,"react,react,react",TRUE,Emilia.Frodi@mailmail.com
Roseline,Ellord,82,1978-06-22,Developers,javascript,FALSE,Roseline.Ellord@mailmail.com
Beatriz,Mitzi,40,1992-09-21,developer,"js,python,js",FALSE,Beatriz.Mitzi@mailmail.com
Gavrielle,Goldina,77,2012-11-04,Recruitment,"ts,javascript",FALSE,Gavrielle.Goldina@mailmail.com
Tybie,Desai,18,2019-04-15,developer,"java,python,java",FALSE,Tybie.Desai@mailmail.com
Monika,Afton,41,1970-03-10,Recruitment,"javascript,java,java",TRUE,Monika.Afton@mailmail.com
Dari,Leffen,69,1992-01-21,Recruitment,"python,ts",TRUE,Dari.Leffen@mailmail.com
Genovera,Pettiford,69,1987-06-03,Developers,"javascript,java,py",TRUE,Genovera.Pettiford@mailmail.com
Pearline,Pitt,58,1974-09-10,developer,"java,py",TRUE,Pearline.Pitt@mailmail.com
Kirstin,Adrienne,42,2007-12-17,worker,typescript,FALSE,Kirstin.Adrienne@mailmail.com
Dominga,Oster,62,1983-04-20,HR,"java,react",FALSE,Dominga.Oster@mailmail.com
Edyth,Himelman,83,1995-02-10,worker,"typescript,js,typescript",FALSE,Edyth.Himelman@mailmail.com
Carlie,Juan,48,1955-03-30,worker,react,TRUE,Carlie.Juan@mailmail.com
Annice,Marden,60,1975-08-04,developer,"javascript,python",FALSE,Annice.Marden@mailmail.com
Donnie,Oneida,74,2017-03-18,worker,javascript,TRUE,Donnie.Oneida@mailmail.com
Estell,Hewitt,78,2007-01-21,Recruitment,"ts,ts,typescript",FALSE,Estell.Hewitt@mailmail.com
Thalia,Frodi,76,1999-01-06,Recruitment,"js,javascript",TRUE,Thalia.Frodi@mailmail.com
Zsa Zsa,Donoghue,90,2025-04-24,worker,"python,js,js",FALSE,Zsa Zsa.Donoghue@mailmail.com
Nerta,Kronfeld,37,2005-11-28,Recruitment,"python,react",FALSE,Nerta.Kronfeld@mailmail.com
Doralynne,Allare,17,1992-05-02,developer,"java,py,react",FALSE,Doralynne.Allare@mailmail.com
Sarette,Seagraves,52,2008-01-14,HR,"java,react",TRUE,Sarette.Seagraves@mailmail.com
Carol-Jean,Bari,83,1948-08-13,Developers,"java,java",TRUE,Carol-Jean.Bari@mailmail.com
Ethel,Parsaye,6,2001-07-27,developer,"js,ts,typescript",TRUE,Ethel.Parsaye@mailmail.com
Nessie,Judye,62,1963-12-31,developer,"java,python",FALSE,Nessie.Judye@mailmail.com
Gale,Meter,19,1947-09-29,worker,"react,javascript",FALSE,Gale.Meter@mailmail.com
Sissy,Strephon,31,2011-02-06,worker,js,FALSE,Sissy.Strephon@mailmail.com
Claudina,Madox,42,2008-08-20,developer,javascript,TRUE,Claudina.Madox@mailmail.com
Tressa,Milde,87,1975-06-05,worker,"typescript,react,ts",TRUE,Tressa.Milde@mailmail.com
Kalina,Smitt,91,2021-01-14,Recruitment,"js,py,python",FALSE,Kalina.Smitt@mailmail.com
Vonny,Rillings,10,2011-11-14,developer,js,TRUE,Vonny.Rillings@mailmail.com
Fina,Parsaye,61,2025-06-04,Developers,"java,javascript",FALSE,Fina.Parsaye@mailmail.com
Raf,Prober,92,1965-07-02,developer,"javascript,javascript,py",TRUE,Raf.Prober@mailmail.com
Jaime,Jerold,90,1996-07-16,Developers,"java,python,react",TRUE,Jaime.Jerold@mailmail.com
Mamie,Hanleigh,75,1944-04-18,Developers,javascript,TRUE,Mamie.Hanleigh@mailmail.com
Sophia,Maisey,85,1959-11-09,developer,"javascript,py",FALSE,Sophia.Maisey@mailmail.com
Clarice,Euridice,7,2024-05-25,worker,"py,javascript",FALSE,Clarice.Euridice@mailmail.com
Pamella,Knowling,8,2009-11-24,Recruitment,"python,react,javascript",FALSE,Pamella.Knowling@mailmail.com
Myrtice,Phyllis,16,1984-05-19,Developers,"js,typescript,ts",FALSE,Myrtice.Phyllis@mailmail.com
Lynde,Erich,43,1941-09-08,worker,"js,react",TRUE,Lynde.Erich@mailmail.com
Gisela,LaRue,89,1940-12-24,worker,"typescript,javascript",FALSE,Gisela.LaRue@mailmail.com
Quintina,Lorenz,37,1982-08-06,developer,,FALSE,Quintina.Lorenz@mailmail.com
